geometry,OBJECTID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,DBHHEIGHT,NUMTRUNK,HEIGHT,TRUNKHEIGHT,CRADAVG,Latitude,Longitude,Long,longitude,latitude
POINT (-76.9502364 38.9924299),14104,0,Yew,English,Spreading,Taxus,baccata,Repandens,0,4.5,1,0,0,0,,,,-76.9502364,38.9924299
POINT (-76.9433678 38.9919122),14105,2242,Maple,Red,,Acer,rubrum,,5.2,4.5,1,23,4,11.9,,,,-76.9433678,38.9919122
POINT (-76.9412035 38.991268),14106,0,Sweetspire,Virginia,Little Henry,Itea,virginica,Sprich,0,0,0,0,0,0,,,,-76.9412035,38.991268
POINT (-76.9420827 38.9969661),14107,0,Redbud,Eastern,,Cercis,canadensis,,3.9,1.4,1,10,0,0,,,,-76.9420827,38.9969661
POINT (-76.9520436 38.9865083),14108,0,Magnolia,Cucumber (Hybrid),,Magnolia,x soulangeana,,7,4.5,9,9.3,2,3.9,,,,-76.9520436,38.9865083
POINT (-76.9518029 38.9887454),14109,3804,Planetree,London,,Platanus,x acerifolia,,4,4.5,1,20.2,6,7.9,,,,-76.9518029,38.9887454
POINT (-76.945542 38.9865721),14110,0,Maple,Hybrid,Norwegian Sunset,Acer,truncatum x platanoides,Norwegian Sunset,0,4.5,1,0,0,0,,,,-76.945542,38.9865721
POINT (-76.947323 38.988166),14111,0,Crapemyrtle,,,Lagerstroemia,sp.,,0,4.5,10,20,7,5.8,,,,-76.947323,38.988166
POINT (-76.9495961 38.9912018),14112,0,Juniper,Species,,Juniperus,sp.,,0,4.5,1,1,0,2.5,,,,-76.9495961,38.9912018
POINT (-76.9388728 38.9925679),14113,0,Holly,Hybrid,Foster,Ilex,x attenuata,Fosteri,3.6,4.5,2,14,0,4.2,,,,-76.9388728,38.9925679
POINT (-76.9387018 38.9869953),14114,0,Cherry,Yoshino,,Prunus,x yedoensis,,2.5,4.5,1,17,6,4.1,,,,-76.9387018,38.9869953
POINT (-76.9477612 38.9915669),14115,0,Magnolia,Sweetbay,,Magnolia,virginiana,,0,4.5,1,0,0,0,,,,-76.9477612,38.9915669
POINT (-76.9483574 38.9921787),14116,0,Rhododendron,Hybrid,,Rhododendron,x,Dr. Lutton,0,4.5,1,1,0,0.8,,,,-76.9483574,38.9921787
POINT (-76.9511331 38.9904826),14117,0,Spiraea,Bumald,Anthony Waterer,Spiraea,x bumalda,Anthony Waterer,0,4.5,1,3,0,2,,,,-76.9511331,38.9904826
POINT (-76.9406089 38.9840094),14118,0,Viburnum,Cranberrybush,Compactus,Viburnum,opulus,Compactus,0,4.5,1,2,0,1,,,,-76.9406089,38.9840094
POINT (-76.9499215 38.9910442),14119,0,Yew,English,,Taxus,baccata,,0,4.5,1,3.5,0,2,,,,-76.9499215,38.9910442
POINT (-76.9524248 38.986518),14120,0,,,,Paeonia,suffruticosa,,0,4.5,1,2.5,0,1,,,,-76.9524248,38.986518
POINT (-76.9427238 38.9884423),14121,3361,Locust,Honey,Thornless,Gleditsia,triacanthos var. inermis,,5.1,4.5,1,22,5,11.2,,,,-76.9427238,38.9884423
POINT (-76.9379332 38.9886268),14122,0,Cherry,Yoshino,,Prunus,x yedoensis,,5.3,4,1,17,5,9.1,,,,-76.9379332,38.9886268
POINT (-76.9402486 38.9856288),14123,659,Linden,Little Leaf,,Tilia,cordata,,9.2,4.5,1,30,6,10.9,,,,-76.9402486,38.9856288
POINT (-76.9377123 38.9933562),14124,2909,Maple,Red,,Acer,rubrum,,31,4.5,1,0,0,0,,,,-76.9377123,38.9933562
POINT (-76.9506451 38.9898992),14125,0,Bamboo,Heavenly,,Nandina,domestica,,0,4.5,1,3.5,0,1.5,,,,-76.9506451,38.9898992
POINT (-76.9521608 38.9866442),14126,0,Juniper,Pfitzer,Gold Coast,Juniperus,x pfitzeriana,Aurea,0,4.5,1,2,0,2.5,,,,-76.9521608,38.9866442
POINT (-76.9437322 38.9843506),14127,394,Oak,Pin,,Quercus,palustris,,16.5,4.5,1,55,8,17.9,,,,-76.9437322,38.9843506
POINT (-76.9470873 38.9861369),14128,0,Magnolia,Star,,Magnolia,stellata,,6,2,6,9,3,4.5,,,,-76.9470873,38.9861369
POINT (-76.9517996 38.9898809),14129,0,Cryptomeria,Japanese,,Cryptomeria,japonica,,2.7,4.5,1,8.8,1,2.5,,,,-76.9517996,38.9898809
POINT (-76.9500151 38.9924152),14130,0,Sweetspire,Virginia,Little Henry,Itea,virginica,Sprich,0,4.5,1,0,0,0,,,,-76.9500151,38.9924152
POINT (-76.9444168 38.9865272),14131,943,Oak,Willow,,Quercus,phellos,,18.7,4.5,1,41,8.5,22.5,,,,-76.9444168,38.9865272
